"Provider No.","Facility Name","Facility Type","Facility Subtype","Street Address","City","State","ZIP Code","Telephone","No. of Beds","No. of Certified Beds","No. of Medicaid Nursing Beds","No. of Skilled Nursing Beds","No. of ICF/MR Beds","No. of Physicians","No. of Physician Assistants","No. of Nurse Practitioners","No. of Direct Care Personnel","No. of Other Personnel","Employee Count","Federally Funded Health Center Indicator","Rural Health Center Provider Number","Rural Health Clinic Indicator","Facility Type Description"
"330222","SARATOGA HOSPITAL","Hospital","Short Term","211 Church St","Saratoga Springs","New York","12866-1090","518-587-3222","","","","","","30.73","","","","756.43","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330224","HEALTHALLIANCE HOSPITAL MARYS AVENUE CAMPUS","Hospital","Short Term","105 Marys Ave","Kingston","New York","12401-5894","845-338-2500","","","","","","1.00","","","","357.59","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330226","UNITY HOSPITAL OF ROCHESTER","Hospital","Short Term","1555 Long Pond Rd","Rochester","New York","14626-4164","585-723-7000","","","","","","67.55","","","","819.33","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330229","BROOKS-TLC HOSPITAL SYSTEM, INC","Hospital","Short Term","529 Central Ave","Dunkirk","New York","14048-2599","716-366-1111","","","","","","0.17","","","","241.80","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"33022F","US AIR FORCE HOSP","Hospital","Data not provided by CMS","31 Washington Rd","Plattsburgh","New York","12903","555-123-4567","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"330231","QUEENS HOSPITAL CENTER","Hospital","Short Term","82-68 164th St","Jamaica","New York","11432","718-883-3000","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330233","BROOKDALE HOSPITAL MEDICAL CENTER","Hospital","Short Term","1 Brookdale Plz","Brooklyn","New York","11212-3139","718-240-5966","","","","","","281.47","","","","3214.81","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330234","WESTCHESTER MEDICAL CENTER","Hospital","Short Term","100 Woods Rd","Valhalla","New York","10595-1530","914-493-7000","","","","","","508.80","","","","2553.90","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330235","AUBURN  COMMUNITY  HOSPITAL","Hospital","Short Term","17 Lansing St","Auburn","New York","13021-1943","315-255-7011","","","","","","7.00","","","","446.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330238","NICHOLAS H NOYES MEMORIAL HOSPITAL","Hospital","Short Term","111 Clara Barton St","Dansville","New York","14437-9503","585-335-6001","","","","","","9.00","","","","208.78","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330239","UPMC CHAUTAUQUA AT WCA","Hospital","Short Term","207 Foote Ave","Jamestown","New York","14701-7096","716-487-0141","","","","","","6.00","","","","830.60","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"33023F","US AIR FORCE HOSP","Hospital","Data not provided by CMS","Griffiss Dr","Rome","New York","13440-3817","555-123-4567","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"330240","HARLEM HOSPITAL CENTER","Hospital","Short Term","506 Lenox Ave","New York","New York","10037","212-939-1000","","","","","","0.26","","","","1350.21","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330241","UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER","Hospital","Short Term","750 E Adams St","Syracuse","New York","13210-2306","315-473-4240","","","","","","9.00","","","","2556.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330246","ST CHARLES HOSPITAL","Hospital","Short Term","200 Belle Terre Rd","Port Jefferson","New York","11777-1928","631-474-6000","","","","","","59.00","","","","744.10","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"33024F","VA HOSP","Hospital","Data not provided by CMS","University Pl","Syracuse","New York","13210-2824","555-123-4567","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"330250","THE UNIVERSITY OF VERMONT HEALTH NETWORK  - CHAMPL","Hospital","Short Term","75 Beekman St","Plattsburgh","New York","12901-1438","518-562-7767","","","","","","14.10","","","","1073.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330259","MERCY MEDICAL CENTER","Hospital","Short Term","1000 N Village Ave","Rockville Centre","New York","11570-1000","516-705-2525","","","","","","18.90","","","","904.10","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"33025F","WEST POINT KELLER ARMY COMMUNITY HOSPITAL","Hospital","Data not provided by CMS","900 Washington Rd","West Point","New York","10996-1197","555-123-4567","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"330261","PHELPS HOSPITAL","Hospital","Short Term","701 N Broadway","Sleepy Hollow","New York","10591-1096","914-366-3000","","","","","","4.15","","","","932.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330264","ST LUKE'S CORNWALL HOSPITAL","Hospital","Short Term","70 Dubois St","Newburgh","New York","12550-4851","845-561-4400","","","","","","8.75","","","","667.59","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330265","CLIFTON SPRINGS HOSPITAL AND CLINIC","Hospital","Short Term","2 Coulter Rd","Clifton Springs","New York","14432-1122","315-462-9561","","","","","","6.00","","","","221.10","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330267","HUDSON VALLEY HOSPITAL CENTER","Hospital","Short Term","1980 Crompond Rd","Cortlandt Manor","New York","10567","914-734-3611","","","","","","0.00","","","","623.40","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330270","HOSPITAL FOR SPECIAL SURGERY","Hospital","Short Term","535 E 70th St","New York","New York","10021-4898","212-606-1000","","","","","","69.90","","","","1831.30","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330273","PUTNAM HOSPITAL CENTER","Hospital","Short Term","670 Stoneleigh Ave","Carmel","New York","10512-3997","914-279-5711","","","","","","83.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330276","NATHAN LITTAUER HOSPITAL","Hospital","Short Term","99 E State St","Gloversville","New York","12078-1203","518-725-8621","","","","","","34.20","","","","576.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330277","CORNING HOSPITAL","Hospital","Short Term","1 Guthrie Dr","Corning","New York","14830-2899","607-937-7200","","","","","","0.00","","","","257.25","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330279","MERCY HOSPITAL OF BUFFALO","Hospital","Short Term","565 Abbott Rd","Buffalo","New York","14220-2095","716-826-7000","","","","","","19.60","","","","948.60","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330285","STRONG MEMORIAL HOSPITAL","Hospital","Short Term","601 Elmwood Ave","Rochester","New York","14642","585-275-2121","","","","","","657.00","","","","5208.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330286","GOOD SAMARITAN HOSPITAL MEDICAL CENTER","Hospital","Short Term","1000 Montauk Hwy","West Islip","New York","11795-4958","631-376-3000","","","","","","148.88","","","","1455.43","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330304","WHITE PLAINS HOSPITAL CENTER","Hospital","Short Term","41 E Post Rd # r0ad","White Plains","New York","10601-4607","914-681-0600","","","","","","391.00","","","","2778.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330307","CAYUGA MEDICAL CENTER AT ITHACA","Hospital","Short Term","101 Dates Dr","Ithaca","New York","14850","607-274-4401","","","","","","11.00","","","","157.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330331","PLAINVIEW HOSPITAL","Hospital","Short Term","888 Old Country Rd","Plainview","New York","11803-4914","516-719-3000","","","","","","48.61","","","","652.64","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330332","ST JOSEPH HOSPITAL","Hospital","Short Term","4295 Hempstead Tpke","Bethpage","New York","11714","516-579-6000","","","","","","6.00","","","","499.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330350","SUNY HEALTH SCIENCE CENTER AT BROOKLYN UNIVERSITY","Hospital","Short Term","445 Lenox Rd","Brooklyn","New York","11203-2000","718-270-1000","","","","","","21.29","","","","755.77","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330354","ROSWELL PARK CANCER INSTITUTE","Hospital","Short Term","Elm St & Carlton St","Buffalo","New York","14203-1323","716-845-2300","","","","","","164.00","","","","1878.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330386","GARNET HEALTH  MEDICAL CENTER CATSKILLS","Hospital","Short Term","68 Harris Bushville Rd","Monticello","New York","12701","845-794-3300","","","","","","15.50","","","","454.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330393","STONY BROOK UNIVERSITY HOSPITAL","Hospital","Short Term","Health Sciences Drive","Stony Brook","New York","11794","631-444-4000","","","","","","0.00","","","","2719.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330394","UNITED HEALTH SERVICES HOSPITALS, INC","Hospital","Short Term","10-42 Mitchell Ave","Binghamton","New York","13903-1617","607-763-6000","","","","","","19.60","","","","2187.17","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330395","ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE","Hospital","Short Term","327 Beach 19th St","Far Rockaway","New York","11691-4423","718-869-7000","","","","","","49.40","","","","678.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330396","WOODHULL MEDICAL & MENTAL HEALTH CENTER","Hospital","Short Term","760 Broadway","Brooklyn","New York","11206-5383","718-963-8100","","","","","","171.30","","","","1397.50","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330399","ST BARNABAS HOSPITAL","Hospital","Short Term","4422 3rd Ave","Bronx","New York","10457","212-960-9000","","","","","","52.88","","","","1211.26","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330401","ST CATHERINE OF SIENA HOSPITAL MEDICAL CENTER","Hospital","Short Term","50 Route 25A","Smithtown","New York","11787-1348","631-862-3000","","","","","","24.30","","","","800.10","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330405","HELEN HAYES HOSPITAL","Hospital","Short Term","51 N Route 9W","West Haverstraw","New York","10993","845-786-4000","","","","","","6.00","","","","335.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330406","SUNNYVIEW HOSPITAL AND REHABILITATION CENTER","Hospital","Short Term","1270 Belmont Ave","Schenectady","New York","12308-2104","518-386-3580","","","","","","8.00","","","","218.15","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330410","TERENCE CARDINAL COOKE HEALTH CARE CENTER","Hospital","Short Term","1249 5th Ave","New York","New York","10029-4413","212-360-3600","","","","","","5.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"330411","UNITY SPECIALTY HOSPITAL","Hospital","Short Term","89 Genesee St","Rochester","New York","14611","585-723-7000","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Short - Term"
"331301","CUBA MEMORIAL HOSPITAL, INC","Hospital","Critical Access Hospitals","140 W Main St","Cuba","New York","14727-1317","585-961-2000","","","","","","2.50","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331302","ELIZABETHTOWN COMMUNITY HOSPITAL","Hospital","Critical Access Hospitals","75 Park St","Elizabethtown","New York","12932-2300","518-873-6377","","","","","","5.15","","","","104.18","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331303","GARNET HEALTH MEDICAL CENTER-CATSKILLS","Hospital","Critical Access Hospitals","8081 State Route 97","Cochecton","New York","12726","845-887-5530","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331304","MARGARETVILLE MEMORIAL HOSPITAL","Hospital","Critical Access Hospitals","42084 State Highway 28","Margaretville","New York","12455-2820","845-586-2631","","","","","","0.00","","","","46.13","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331305","O'CONNOR HOSPITAL","Hospital","Critical Access Hospitals","460 Andes Rd","Delhi","New York","13753-7407","607-746-0300","","","","","","0.00","","","","48.70","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331307","CLIFTON FINE HOSPITAL","Hospital","Critical Access Hospitals","1014 Oswegatchie Trl","Star Lake","New York","13690","315-848-3351","","","","","","3.00","","","","40.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331309","RIVER HOSPITAL CLINICS","Hospital","Critical Access Hospitals","4 Fuller St","Alexandria Bay","New York","13607-1316","315-482-2511","","","","","","0.75","","","","91.55","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331310","ELLENVILLE REGIONAL HOSPITAL","Hospital","Critical Access Hospitals","10 Healthy Way","Ellenville","New York","12428","845-647-6400","","","","","","0.00","","","","116.15","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331311","LITTLE FALLS HOSPITAL","Hospital","Critical Access Hospitals","140 Burwell St","Little Falls","New York","13365-1725","315-823-5261","","","","","","1.00","","","","130.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331312","DELAWARE VALLEY HOSPITAL, INC","Hospital","Critical Access Hospitals","1 Titus Pl","Walton","New York","13856-1498","607-865-2188","","","","","","0.00","","","","108.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331313","SCHUYLER HOSPITAL","Hospital","Critical Access Hospitals","220 Steuben St","Montour Falls","New York","14865-9740","607-530-7121","","","","","","8.00","","","","145.30","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331314","SOLDIERS AND SAILORS MEMORIAL HOSPITAL OF YATES","Hospital","Critical Access Hospitals","418 N Main St","Penn Yan","New York","14527-1070","315-787-4175","","","","","","14.92","","","","121.49","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331315","GOUVERNEUR HOSPITAL","Hospital","Critical Access Hospitals","77 W Barney St","Gouverneur","New York","13642-1090","315-287-1000","","","","","","3.00","","","","107.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331316","COMMUNITY MEMORIAL HOSPITAL, INC","Hospital","Critical Access Hospitals","150 Broad St","Hamilton","New York","13346-9575","315-824-1100","","","","","","9.00","","","","143.70","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331317","LEWIS COUNTY GENERAL HOSPITAL","Hospital","Critical Access Hospitals","7785 N State St","Lowville","New York","13367-1229","315-376-5200","","","","","","10.00","","","","282.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331318","CARTHAGE AREA HOSPITAL, INC","Hospital","Critical Access Hospitals","1001 West St","Carthage","New York","13619-9703","315-493-1000","","","","","","18.15","","","","267.90","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331319","MEDINA MEMORIAL HOSPITAL","Hospital","Critical Access Hospitals","200 Ohio St","Medina","New York","14103-1095","585-798-8111","","","","","","0.00","","","","10.60","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331320","COBLESKILL REGIONAL HOSPITAL","Hospital","Critical Access Hospitals","178 Grandview Dr","Cobleskill","New York","12043-1533","518-254-3456","","","","","","0.00","","","","136.40","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331321","THE UNIVERSITY OF VERMONT HEALTH NETWORK-ALICE HY","Hospital","Critical Access Hospitals","133 Park St","Malone","New York","12953-1244","518-481-2458","","","","","","20.86","","","","394.25","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331322","SLHS MASSENA, INC","Hospital","Critical Access Hospitals","1 Hospital Dr","Massena","New York","13662-1097","315-769-4234","","","","","","9.00","","","","163.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331323","WYOMING COUNTY","Hospital","Critical Access Hospitals","400 N Main St","Warsaw","New York","14569-1025","585-786-8940","","","","","","7.00","","","","189.00","0.00","Not Applicable","Not Applicable","Not Applicable","Critical Access Hospitals"
"331990","HIGH RIDGE HOUSE","Hospital","Religious Nonmedical Health Care Institutions","5959 Independence Ave","Bronx","New York","10471-1299","718-796-4200","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Religious Non-Medical Health Care Institution"
"332006","CALVARY HOSPITAL INC","Hospital","Long Term","1740 Eastchester Rd","Bronx","New York","10461-2300","718-863-6900","","","","","","22.70","","","","501.70","0.00","Not Applicable","Not Applicable","Not Applicable","Long - Term"
"332008","HENRY J CARTER SPECIALTY HOSPITAL","Hospital","Long Term","1752 Park Ave","New York","New York","10035-2811","212-318-8000","","","","","","48.00","","","","856.00","0.00","Not Applicable","Not Applicable","Not Applicable","Long - Term"
"333030","WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL","Hospital","Rehabilitation","785 Mamaroneck Ave","White Plains","New York","10605-2523","914-597-2232","","","","","","2.00","","","","545.91","0.00","Not Applicable","Not Applicable","Not Applicable","Rehabilitation"
"333301","BLYTHEDALE CHILDREN'S HOSPITAL","Hospital","Childrens","95 Bradhurst Ave","Valhalla","New York","10595","914-592-7555","","","","","","14.00","","","","213.00","0.00","Not Applicable","Not Applicable","Not Applicable","Childrens"
"334001","HUTCHINGS PSYCHIATRIC CTR","Hospital","Psychiatric","620 Madison St","Syracuse","New York","13210-2319","315-473-4980","","","","","","15.00","","","","290.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334002","FOUR WINDS","Hospital","Psychiatric","800 Cross River Rd","Katonah","New York","10536-3549","914-763-8151","","","","","","8.00","","","","46.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334003","ST LAWRENCE PSYCHIATRIC CENTER","Hospital","Psychiatric","1 Chimney Point Dr","Ogdensburg","New York","13669-2212","315-541-2071","","","","","","7.00","","","","214.49","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334004","CREEDMOOR PSYCHIATRIC CENTER","Hospital","Psychiatric","8045 Winchester Blvd BLDG B","Queens Village","New York","11427-2193","718-264-4000","","","","","","58.00","","","","631.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334009","NEW YORK STATE PSYCHIATRIC INSTITUTE","Hospital","Psychiatric","722 W 168th St","New York","New York","10032-3727","212-543-5000","","","","","","3.00","","","","6.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334012","GREATER BINGHAMTON HEALTH CENTER","Hospital","Psychiatric","425 Robinson St","Binghamton","New York","13904-1735","607-724-1391","","","","","","7.10","","","","185.50","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334013","PILGRIM PSYCHIATRIC CENTER","Hospital","Psychiatric","998 Crooked Hill Rd","West Brentwood","New York","11717-1019","631-761-3500","","","","","","35.00","","","","599.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334015","ROCKLAND PSYCH CTR","Hospital","Psychiatric","140 Old Orangeburg Rd","Orangeburg","New York","10962","845-359-1000","","","","","","43.00","","","","673.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334020","ROCHESTER PSYCHIATRIC CENTER","Hospital","Psychiatric","1600 South Ave","Rochester","New York","14620-3924","585-241-1200","","","","","","25.00","","","","494.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334021","MOHAWK VALLEY PSYCHIATRIC CENTER","Hospital","Psychiatric","1400 Noyes St","Utica","New York","13502-3854","315-797-6800","","","","","","17.80","","","","394.86","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334022","BRYLIN HOSP","Hospital","Psychiatric","1263 Delaware Ave","Buffalo","New York","14209-2497","716-886-8200","","","","","","1.00","","","","19.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334026","BRUNSWICK PSYCH CENTER","Hospital","Psychiatric","81 Louden Ave","Amityville","New York","11701-2736","516-789-7000","","","","","","2.00","","","","134.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334027","SOUTH OAKS HOSP","Hospital","Psychiatric","400 Sunrise Hwy","Amityville","New York","11701-2508","516-264-4000","","","","","","9.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334043","SOUTH BEACH PSYCHIATRIC CENTER","Hospital","Psychiatric","777 Seaview Ave","Staten Island","New York","10305-3409","718-667-2300","","","","","","19.50","","","","33.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334045","ELMIRA PSYCH CENTER","Hospital","Psychiatric","Washington St","Elmira","New York","14901-2849","607-737-4739","","","","","","11.00","","","","58.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334046","CAPITAL DISTRICT PSYCH CENTER","Hospital","Psychiatric","75 New Scotland Ave","Albany","New York","12208-3409","845-398-5566","","","","","","10.90","","","","40.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334048","GRACIE SQUARE HOSP","Hospital","Psychiatric","420 E 76th St","New York","New York","10021-3396","212-434-5322","","","","","","17.67","","","","142.52","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334049","FOUR WINDS OF SARATOGA","Hospital","Psychiatric","30 Crescent Ave","Saratoga Springs","New York","12866-5100","518-584-3600","","","","","","8.75","","","","200.75","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334052","BUFFALO PSYCHIATRIC CENTER","Hospital","Psychiatric","400 Forest Ave","Buffalo","New York","14213-1298","716-885-2261","","","","","","30.30","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334053","BRONX PSYCHIATRIC CENTER","Hospital","Psychiatric","1500 Waters Pl","Bronx","New York","10461-2723","718-931-0600","","","","","","27.00","","","","464.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334054","MANHATTAN PSYCHIATRIC CENTER","Hospital","Psychiatric","600 E 125th St","New York","New York","10035-6000","646-672-6767","","","","","","37.00","","","","449.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334060","KIRBY FORENSIC PSYCHIATRIC CENTER","Hospital","Psychiatric","Wards Is","New York","New York","10035-6001","212-427-9003","","","","","","18.50","","","","340.50","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334061","MID HUDSON FORENSIC PSYCHIATRIC CTR","Hospital","Psychiatric","Route 17M","New Hampton","New York","10958","845-374-3171","","","","","","24.00","","","","440.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334063","KINGSBORO PSYCHIATRIC HOSPITAL","Hospital","Psychiatric","681 Clarkson Ave","Brooklyn","New York","11203-2125","718-221-7395","","","","","","12.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334064","SAGAMORE CHILDREN'S PSYCHIATRIC CENTER","Hospital","Psychiatric","197 Half Hollow Rd","Huntington Station","New York","11746","631-370-1701","","","","","","9.50","","","","177.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334065","WESTERN NY CHILDRENS PSYCHIATRIC CENTER","Hospital","Psychiatric","1010 East and West Rd","Buffalo","New York","14224","716-677-7000","","","","","","10.00","","","","154.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334066","ROCKLAND CHILDREN'S PSYCHIATRIC CENTER","Hospital","Psychiatric","2 First Ave","Orangeburg","New York","10962","845-680-8004","","","","","","13.00","","","","109.00","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"334067","NEW YORK CITY CHILDRENS PSYCH CENTER","Hospital","Psychiatric","74-03 Commonwealth Blvd","Bellerose","New York","11426","718-692-2543","","","","","","9.65","","","","333.50","0.00","Not Applicable","Not Applicable","Not Applicable","Psychiatric"
"339800","UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CTR T C","Hospital","Transplant Hospitals","750 E Adams St","Syracuse","New York","13210-2306","315-473-4240","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339801","NORTH SHORE UNIVERSITY HOSPITAL - MANHASSET T C","Hospital","Transplant Hospitals","300 Community Dr","Manhasset","New York","11030-3876","516-465-2667","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339802","UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE) T C","Hospital","Transplant Hospitals","445 Lenox Rd","Brooklyn","New York","11203-2000","718-270-1000","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339803","NEW YORK-PRESBYTERIAN HOSPITAL AT COLUMBIA T C","Hospital","Transplant Hospitals","622 W 168th St","New York","New York","10032-3720","212-305-2500","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339804","NYU  LANGONE HOSPITALS T C","Hospital","Transplant Hospitals","550 1st Ave","New York","New York","10016-6497","212-263-8360","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339806","WESTCHESTER MEDICAL CENTER T C","Hospital","Transplant Hospitals","100 Woods Rd","Valhalla","New York","10595-1530","914-285-7017","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339807","MONTEFIORE MEDICAL CENTER T C","Hospital","Transplant Hospitals","111 E 210th St","Bronx","New York","10467","718-920-5333","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339808","STRONG MEMORIAL HOSPITAL T C","Hospital","Transplant Hospitals","601 Elmwood Ave","Rochester","New York","14642-0001","585-275-2121","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339809","UNIVERSITY HOSPITAL ( STONY BROOK ) T C","Hospital","Transplant Hospitals","NICHOLLS ROAD HSC T19040","Stony Brook","New York","11794","631-444-2209","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339810","NEW YORK-PRESBYTERIAN HOSPITAL AT CORNELL T C","Hospital","Transplant Hospitals","525 E 68th St","New York","New York","10065-4885","212-305-5551","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339811","ALBANY MEDICAL CENTER T C","Hospital","Transplant Hospitals","43 New Scotland Ave","Albany","New York","12208","518-262-3028","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339813","MOUNT SINAI HOSPITAL T C","Hospital","Transplant Hospitals","1 Gustave L Levy Pl","New York","New York","10029-6504","212-241-7981","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339814","ERIE COUNTY MEDICAL CENTER T C","Hospital","Transplant Hospitals","462 Grider St","Buffalo","New York","14215-3021","716-898-5240","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
"339815","LONG ISLAND JEWISH MEDICAL CENTER T C","Hospital","Transplant Hospitals","26901 76th Ave","New Hyde Park","New York","11040-1433","516-562-0532","","","","","","0.00","","","","0.00","0.00","Not Applicable","Not Applicable","Not Applicable","Data not provided by CMS"
